#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%
148,Casey Mize,DET,47.7%,94.7,0,0,26.5%,88.0,5.3%,82.6,0,0,20.5%,87.6,0,0,0
149,Jesse Hahn,KCR,65.9%,94.7,10.2%,84.9,0,0,22.7%,77.7,1.1%,90.0,0,0,0,0,0
150,Eduard Bazardo,BOS,37.5%,94.7,0,0,0,0,62.5%,82.5,0,0,0,0,0,0,0
151,Yu Darvish,SDP,23.7%,94.7,22.3%,81.8,36.9%,86.3,11.8%,75.8,0.2%,80.0,5.2%,90.2,0,0,0
152,Hunter Strickland,TBR,53.6%,94.6,42.6%,85.1,0,0,0,0,0,0,3.8%,89.3,0,0,0.5%
153,Chris Paddack,SDP,62.8%,94.6,0,0,1.2%,92.8,6.2%,77.6,29.8%,84.5,0,0,0,0,0
154,Tyler Zuber,KCR,58.8%,94.6,27.7%,84.3,0,0,12.2%,79.4,1.4%,83.5,0,0,0,0,0
155,Chris Martin,ATL,40.0%,94.6,26.7%,82.6,13.3%,91.5,0,0,0,0,20.0%,88.0,0,0,0
156,Diego Castillo,TBR,30.8%,94.6,69.2%,86.8,0,0,0,0,0,0,0,0,0,0,1.7%
157,Mitch Keller,PIT,57.2%,94.6,20.0%,87.5,0,0,18.3%,78.6,4.5%,91.0,0,0,0,0,0
158,Jose Urena,DET,64.8%,94.6,27.1%,86.2,0,0,0,0,8.0%,90.7,0,0,0,0,0
159,Steven Matz,TOR,45.4%,94.6,11.3%,87.8,0,0,15.5%,78.0,27.8%,85.5,0,0,0,0,0
160,Ian Anderson,ATL,46.5%,94.6,0,0,0,0,21.8%,80.5,31.8%,88.0,0,0,0,0,0
161,Austin Adams,SDP,10.3%,94.6,89.7%,87.6,0,0,0,0,0,0,0,0,0,0,0
162,Nick Pivetta,BOS,54.4%,94.6,30.1%,85.3,0,0,15.1%,79.2,0.4%,88.0,0,0,0,0,0
163,Rafael Dolis,TOR,63.6%,94.6,21.4%,85.4,0,0,0,0,0,0,15.0%,86.4,0,0,0
164,Erik Swanson,SEA,61.7%,94.6,31.9%,87.3,0,0,0,0,6.4%,84.3,0,0,0,0,0
165,Brooks Kriske,NYY,68.2%,94.5,13.6%,84.3,0,0,0,0,0,0,18.2%,85.0,0,0,0
166,Tyler Mahle,CIN,55.4%,94.5,32.4%,87.4,0,0,0,0,0,0,12.2%,87.2,0,0,0
167,Andrew Kittredge,TBR,55.8%,94.5,43.6%,87.8,0,0,0,0,0,0,0.6%,88.0,0,0,2.6%
